IBR-Agüimes;;;;;;;;;;;
FECHA;HORA;SO2;NO;NO2;PM10;;;;;;
01/01/2008;1;8;10;6;36;;;;;;
01/01/2008;2;7;9;7;12;;;;;;
01/01/2008;3;7;8;4;14;;;;;;
01/01/2008;4;6;8;6;13;;;;;;
01/01/2008;5;5;9;4;12;;;;;;
01/01/2008;6;6;9;8;13;;;;;;
01/01/2008;7;6;9;8;7;;;;;;
01/01/2008;8;6;10;8;11;;;;;;
01/01/2008;9;7;9;6;15;;;;;;
01/01/2008;10;8;9;12;19;;;;;;
01/01/2008;11;11;9;10;13;;;;;;
01/01/2008;12;16;10;12;13;;;;;;
01/01/2008;13;11;9;3;11;;;;;;
01/01/2008;14;9;8;5;12;;;;;;
01/01/2008;15;8;8;5;15;;;;;;
01/01/2008;16;7;7;4;19;;;;;;
01/01/2008;17;6;7;3;14;;;;;;
01/01/2008;18;6;7;2;15;;;;;;
01/01/2008;19;8;7;3;19;;;;;;
01/01/2008;20;8;7;5;15;;;;;;
01/01/2008;21;8;7;8;13;;;;;;
01/01/2008;22;7;8;11;11;;;;;;
01/01/2008;23;7;9;11;15;;;;;;
01/01/2008;24;6;9;8;15;;;;;;
02/01/2008;1;6;8;7;15;;;;;;
02/01/2008;2;6;8;6;10;;;;;;
02/01/2008;3;5;9;10;10;;;;;;
02/01/2008;4;6;9;12;13;;;;;;
02/01/2008;5;6;9;14;7;;;;;;
02/01/2008;6;7;11;7;8;;;;;;
02/01/2008;7;7;10;7;11;;;;;;
02/01/2008;8;9;11;13;9;;;;;;
02/01/2008;9;7;11;13;11;;;;;;
02/01/2008;10;10;12;12;28;;;;;;
02/01/2008;11;10;11;7;12;;;;;;
02/01/2008;12;9;10;7;16;;;;;;
02/01/2008;13;13;11;8;15;;;;;;
02/01/2008;14;10;10;8;12;;;;;;
02/01/2008;15;9;9;7;12;;;;;;
02/01/2008;16;8;8;9;15;;;;;;
02/01/2008;17;8;8;8;13;;;;;;
02/01/2008;18;7;8;12;13;;;;;;
02/01/2008;19;8;9;22;15;;;;;;
02/01/2008;20;8;12;34;20;;;;;;
02/01/2008;21;8;12;47;20;;;;;;
02/01/2008;22;7;9;31;16;;;;;;
02/01/2008;23;6;9;20;15;;;;;;
02/01/2008;24;6;8;15;14;;;;;;
03/01/2008;1;7;9;13;13;;;;;;
03/01/2008;2;6;8;10;9;;;;;;
03/01/2008;3;6;9;9;10;;;;;;
03/01/2008;4;6;7;13;12;;;;;;
03/01/2008;5;6;9;10;6;;;;;;
03/01/2008;6;7;11;16;8;;;;;;
03/01/2008;7;7;12;24;24;;;;;;
03/01/2008;8;7;17;31;23;;;;;;
03/01/2008;9;8;17;34;22;;;;;;
03/01/2008;10;14;12;21;15;;;;;;
03/01/2008;11;18;11;18;16;;;;;;
03/01/2008;12;14;12;22;22;;;;;;
03/01/2008;13;18;12;23;36;;;;;;
03/01/2008;14;14;11;19;15;;;;;;
03/01/2008;15;9;7;12;13;;;;;;
03/01/2008;16;10;9;17;20;;;;;;
03/01/2008;17;11;7;16;20;;;;;;
03/01/2008;18;8;5;22;19;;;;;;
03/01/2008;19;8;5;16;27;;;;;;
03/01/2008;20;8;8;35;23;;;;;;
03/01/2008;21;8;7;28;19;;;;;;
03/01/2008;22;7;8;31;16;;;;;;
03/01/2008;23;7;9;28;16;;;;;;
03/01/2008;24;6;6;23;14;;;;;;
04/01/2008;1;5;6;7;8;;;;;;
04/01/2008;2;5;5;6;19;;;;;;
04/01/2008;3;6;6;5;14;;;;;;
04/01/2008;4;6;6;8;10;;;;;;
04/01/2008;5;5;4;8;10;;;;;;
04/01/2008;6;6;6;9;16;;;;;;
04/01/2008;7;6;6;8;15;;;;;;
04/01/2008;8;7;10;17;20;;;;;;
04/01/2008;9;6;8;9;13;;;;;;
04/01/2008;10;7;7;5;21;;;;;;
04/01/2008;11;7;6;5;26;;;;;;
04/01/2008;12;8;6;4;12;;;;;;
04/01/2008;13;8;6;5;11;;;;;;
04/01/2008;14;9;7;9;13;;;;;;
04/01/2008;15;8;6;4;10;;;;;;
04/01/2008;16;7;6;5;11;;;;;;
04/01/2008;17;6;4;6;15;;;;;;
04/01/2008;18;6;5;5;18;;;;;;
04/01/2008;19;8;6;5;10;;;;;;
04/01/2008;20;7;5;5;15;;;;;;
04/01/2008;21;7;4;4;10;;;;;;
04/01/2008;22;6;4;4;15;;;;;;
04/01/2008;23;7;3;5;21;;;;;;
04/01/2008;24;6;5;3;7;;;;;;
05/01/2008;1;6;3;4;11;;;;;;
05/01/2008;2;6;4;3;9;;;;;;
05/01/2008;3;7;3;4;6;;;;;;
05/01/2008;4;6;3;3;6;;;;;;
05/01/2008;5;6;4;5;7;;;;;;
05/01/2008;6;6;4;3;12;;;;;;
05/01/2008;7;6;4;3;12;;;;;;
05/01/2008;8;8;3;4;5;;;;;;
05/01/2008;9;7;4;4;8;;;;;;
05/01/2008;10;6;3;5;12;;;;;;
05/01/2008;11;8;4;4;16;;;;;;
05/01/2008;12;6;3;7;10;;;;;;
05/01/2008;13;6;4;7;7;;;;;;
05/01/2008;14;6;4;4;5;;;;;;
05/01/2008;15;7;4;4;10;;;;;;
05/01/2008;16;7;3;7;12;;;;;;
05/01/2008;17;6;4;9;11;;;;;;
05/01/2008;18;6;4;7;10;;;;;;
05/01/2008;19;8;5;5;7;;;;;;
05/01/2008;20;8;6;4;10;;;;;;
05/01/2008;21;8;6;6;10;;;;;;
05/01/2008;22;7;5;7;14;;;;;;
05/01/2008;23;7;5;7;13;;;;;;
05/01/2008;24;7;5;15;15;;;;;;
06/01/2008;1;7;5;10;15;;;;;;
06/01/2008;2;7;6;6;16;;;;;;
06/01/2008;3;7;5;12;14;;;;;;
06/01/2008;4;8;6;7;17;;;;;;
06/01/2008;5;7;7;4;14;;;;;;
06/01/2008;6;7;5;8;13;;;;;;
06/01/2008;7;7;6;14;14;;;;;;
06/01/2008;8;7;6;33;17;;;;;;
06/01/2008;9;8;6;8;17;;;;;;
06/01/2008;10;9;7;13;19;;;;;;
06/01/2008;11;14;8;13;19;;;;;;
06/01/2008;12;18;8;9;17;;;;;;
06/01/2008;13;15;6;7;15;;;;;;
06/01/2008;14;11;5;5;16;;;;;;
06/01/2008;15;10;6;5;15;;;;;;
06/01/2008;16;8;5;6;16;;;;;;
06/01/2008;17;9;6;8;18;;;;;;
06/01/2008;18;11;6;16;18;;;;;;
06/01/2008;19;10;5;17;22;;;;;;
06/01/2008;20;9;5;8;18;;;;;;
06/01/2008;21;9;5;8;15;;;;;;
06/01/2008;22;9;6;7;16;;;;;;
06/01/2008;23;8;5;7;18;;;;;;
06/01/2008;24;7;5;7;15;;;;;;
07/01/2008;1;7;6;5;14;;;;;;
07/01/2008;2;7;5;4;13;;;;;;
07/01/2008;3;6;5;5;12;;;;;;
07/01/2008;4;6;5;7;16;;;;;;
07/01/2008;5;6;5;6;15;;;;;;
07/01/2008;6;7;6;4;15;;;;;;
07/01/2008;7;7;6;5;18;;;;;;
07/01/2008;8;7;6;5;21;;;;;;
07/01/2008;9;6;5;5;20;;;;;;
07/01/2008;10;7;6;4;20;;;;;;
07/01/2008;11;9;7;3;16;;;;;;
07/01/2008;12;9;6;4;16;;;;;;
07/01/2008;13;9;5;6;21;;;;;;
07/01/2008;14;9;4;6;15;;;;;;
07/01/2008;15;8;6;5;14;;;;;;
07/01/2008;16;7;6;6;15;;;;;;
07/01/2008;17;7;5;6;17;;;;;;
07/01/2008;18;7;6;8;18;;;;;;
07/01/2008;19;8;5;13;18;;;;;;
07/01/2008;20;9;6;9;20;;;;;;
07/01/2008;21;8;6;6;17;;;;;;
07/01/2008;22;8;6;10;16;;;;;;
07/01/2008;23;7;6;10;17;;;;;;
07/01/2008;24;7;6;9;18;;;;;;
08/01/2008;1;6;7;7;16;;;;;;
08/01/2008;2;7;7;6;16;;;;;;
08/01/2008;3;7;6;6;15;;;;;;
08/01/2008;4;6;6;5;13;;;;;;
08/01/2008;5;6;6;5;12;;;;;;
08/01/2008;6;6;7;6;14;;;;;;
08/01/2008;7;8;7;14;16;;;;;;
08/01/2008;8;8;10;18;16;;;;;;
08/01/2008;9;7;14;27;23;;;;;;
08/01/2008;10;7;6;6;20;;;;;;
08/01/2008;11;9;7;5;16;;;;;;
08/01/2008;12;10;8;10;25;;;;;;
08/01/2008;13;10;6;8;17;;;;;;
08/01/2008;14;9;5;7;15;;;;;;
08/01/2008;15;9;5;7;15;;;;;;
08/01/2008;16;8;5;9;16;;;;;;
08/01/2008;17;8;5;9;15;;;;;;
08/01/2008;18;8;6;11;19;;;;;;
08/01/2008;19;12;7;30;18;;;;;;
08/01/2008;20;10;7;15;21;;;;;;
08/01/2008;21;9;5;19;18;;;;;;
08/01/2008;22;8;5;15;11;;;;;;
08/01/2008;23;8;7;6;9;;;;;;
08/01/2008;24;8;7;5;11;;;;;;
09/01/2008;1;7;6;5;9;;;;;;
09/01/2008;2;7;8;2;9;;;;;;
09/01/2008;3;7;8;3;6;;;;;;
09/01/2008;4;7;8;5;6;;;;;;
09/01/2008;5;7;8;4;6;;;;;;
09/01/2008;6;8;9;5;8;;;;;;
09/01/2008;7;8;9;5;7;;;;;;
09/01/2008;8;9;8;8;12;;;;;;
09/01/2008;9;9;8;12;13;;;;;;
09/01/2008;10;11;8;10;11;;;;;;
09/01/2008;11;12;9;9;10;;;;;;
09/01/2008;12;15;10;15;11;;;;;;
09/01/2008;13;18;10;13;10;;;;;;
09/01/2008;14;16;10;14;10;;;;;;
09/01/2008;15;17;10;14;14;;;;;;
09/01/2008;16;15;9;15;12;;;;;;
09/01/2008;17;12;6;15;21;;;;;;
09/01/2008;18;8;4;8;10;;;;;;
09/01/2008;19;10;4;16;7;;;;;;
09/01/2008;20;10;6;8;5;;;;;;
09/01/2008;21;10;7;6;6;;;;;;
09/01/2008;22;8;7;5;9;;;;;;
09/01/2008;23;7;5;7;8;;;;;;
09/01/2008;24;7;5;7;7;;;;;;
10/01/2008;1;7;5;6;6;;;;;;
10/01/2008;2;8;7;3;6;;;;;;
10/01/2008;3;8;5;8;10;;;;;;
10/01/2008;4;8;6;7;6;;;;;;
10/01/2008;5;7;7;4;5;;;;;;
