TAREA;F. INICIO;F. FIN;DURACION(horas);RECURSOS;;;;;;;;;;;;;;;;;;;;;
actividad preliminar;13/12/2021;13/12/2021;2:00:00;;;;;;;;;;;;;;;;;;;;;;
analizar dataset;13/12/2021;13/12/2021;0:30:00;excel;;;;;;;;;;;;;;;;;;;;;
localizar ubicacion y crear mapas;13/12/2021;13/12/2021;0:30:00;PowerBi, google;;;;;;;;;;;;;;;;;;;;;
organizacion del proyecto;13/12/2021;13/12/2021;1:00:00;excel, PowerBi;;;;;;;;;;;;;;;;;;;;;
esquema PowerBi;20/12/2021;20/12/2021;1:00:00;PowerBi;;;;;;;;;;;;;;;;;;;;;
realizar transformaciones;20/12/2021;15/01/2022;3:20:00;PowerBi;;;;;;;;;;;;;;;;;;;;;
realizar elementos visuales;22/12/2021;15/1/2022;2:40:00;PowerBi;;;;;;;;;;;;;;;;;;;;;
incluir visualizaciones con lenguaje R;22/12/2021;15/01/2022;2:30:00;PowerBi, RStudio;;;;;;;;;;;;;;;;;;;;;
visualizaciones predicción;08/01/2022;15/01/2022;1:30:00;PowerBi;;;;;;;;;;;;;;;;;;;;;
crear presentacion;13/12/2021;17/01/2022;1:30:00;PowerPoint;;;;;;;;;;;;;;;;;;;;;
presentacion preliminar;11/1/2022;11/01/2022;0:18:00;Aula;;;;;;;;;;;;;;;;;;;;;
presentacion proyecto;18/01/2022;18/01/2022;0:20:00;Aula;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
